

[2019-07-23 20:57:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-23 20:59:21] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-23 21:03:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-23 21:28:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-23 22:02:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-23 23:48:02] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 04:02:51] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-24 13:00:23] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-24 14:17:02] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 16:59:54] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 17:57:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 18:08:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 19:04:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 21:05:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 21:07:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-24 22:22:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 22:49:39] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 23:24:41] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-24 23:51:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-25 04:01:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-25 13:14:32] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-25 17:46:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-25 19:57:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-26 04:48:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-26 11:57:29] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-26 12:03:31] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-26 16:25:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-26 21:44:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-26 22:20:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-26 22:51:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-26 23:52:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 00:06:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 00:11:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-27 00:28:45] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 00:46:29] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 01:34:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-27 11:06:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 13:46:06] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 14:03:36] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 15:54:06] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 16:22:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-27 17:01:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 17:35:42] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 18:48:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 22:10:45] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 22:28:54] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 22:52:43] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-27 22:58:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 00:03:21] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 00:05:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-28 08:35:55] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-28 11:33:43] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 12:52:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 13:01:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 13:04:05] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 13:45:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 13:47:09] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-28 13:53:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-28 21:35:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-29 00:49:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-29 18:07:39] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-29 18:13:04] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-29 18:31:37] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-30 02:26:49] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-30 02:26:51] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-30 17:56:31] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-30 23:01:28] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 00:33:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 00:33:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-31 01:37:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 01:38:01] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 01:55:53] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 02:42:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-07-31 12:21:09] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 13:57:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-07-31 16:27:36] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-01 00:19:03] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:19:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:20:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:22:54] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:23:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:25:53] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:31:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:51:05] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 00:52:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 02:22:19] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 02:23:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 03:45:06] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 04:53:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 04:53:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:15:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:16:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:17:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:20:00] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:21:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:22:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:24:28] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:33:00] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:41:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 11:41:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 12:37:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-01 14:43:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-03 11:57:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-03 19:08:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-05 19:50:56] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-05 19:53:57] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-08 22:17:32] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 00:05:57] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 00:06:45] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 00:10:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:11:28] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:19:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:22:57] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:24:03] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:25:05] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:26:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:27:16] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:28:15] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 01:31:26] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-09 15:53:32] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-09 16:01:47] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-10 19:28:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-10 22:56:15] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-10 23:05:23] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-11 22:01:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 22:01:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 22:04:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 22:07:39] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 22:36:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 23:21:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-11 23:24:58] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-12 00:18:27] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-12 00:32:16] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-12 11:48:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-12 14:00:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-12 17:11:09] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-12 23:16:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-12 23:21:24] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-12 23:57:59] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-13 09:55:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-13 10:05:05] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-13 15:32:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-13 20:42:53] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-13 20:54:16] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-13 20:57:49] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-13 21:54:51] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-14 19:27:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-14 20:09:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
